COLUMNS: 
  time
  root_link:T:-X
  root_link:T:-Y
  root_link:T:Z
  root_link:R:-X:rad
  root_link:R:-Y:rad
  root_link:R:Z:rad
  l_hip_1:R:X:rad
  l_hip_2:R:-Z:rad
  l_upper_leg:R:Y:rad
  l_lower_leg:R:X:rad
  l_ankle_1:R:-X:rad
  l_ankle_2:R:-Z:rad
  r_hip_1:R:-X:rad
  r_hip_2:R:-Z:rad
  r_upper_leg:R:-Y:rad
  r_lower_leg:R:-X:rad
  r_ankle_1:R:X:rad
  r_ankle_2:R:-Z:rad
  torso_1:R:X:rad
  torso_2:R:-Z:rad
  chest:R:-Y:rad
  DATA:

4.900000e-02,	3.421532e-02,	5.051327e-03,	5.794804e-01,	-8.850973e-02,	4.359961e-01,	1.633663e-01,	8.454225e-01,	-2.416907e-02,	-1.505953e-01,	-6.971011e-01,	-2.937513e-01,	-1.804485e-02,	7.851135e-01,	2.378585e-02,	1.486518e-01,	-6.772932e-01,	-3.336187e-01,	8.794621e-03,	-4.439522e-01,	-1.880191e-02,	1.479912e-01
5.000000e-02,	3.421532e-02,	5.051009e-03,	5.794804e-01,	-8.850940e-02,	4.359961e-01,	1.633662e-01,	8.454224e-01,	-2.416868e-02,	-1.505954e-01,	-6.971008e-01,	-2.937511e-01,	-1.804554e-02,	7.851137e-01,	2.378549e-02,	1.486519e-01,	-6.772935e-01,	-3.336189e-01,	8.795313e-03,	-4.439522e-01,	-1.880161e-02,	1.479912e-01
5.100000e-02,	3.421532e-02,	5.050904e-03,	5.794804e-01,	-8.850929e-02,	4.359961e-01,	1.633662e-01,	8.454223e-01,	-2.416855e-02,	-1.505955e-01,	-6.971007e-01,	-2.937511e-01,	-1.804577e-02,	7.851138e-01,	2.378537e-02,	1.486519e-01,	-6.772936e-01,	-3.336190e-01,	8.795541e-03,	-4.439521e-01,	-1.880151e-02,	1.479912e-01
5.200000e-02,	3.421532e-02,	5.050870e-03,	5.794804e-01,	-8.850925e-02,	4.359961e-01,	1.633662e-01,	8.454223e-01,	-2.416850e-02,	-1.505955e-01,	-6.971007e-01,	-2.937511e-01,	-1.804584e-02,	7.851138e-01,	2.378533e-02,	1.486519e-01,	-6.772936e-01,	-3.336190e-01,	8.795615e-03,	-4.439521e-01,	-1.880148e-02,	1.479911e-01
5.300000e-02,	3.421432e-02,	5.050851e-03,	5.794804e-01,	-8.850922e-02,	4.359946e-01,	1.633661e-01,	8.454231e-01,	-2.416857e-02,	-1.505956e-01,	-6.971011e-01,	-2.937493e-01,	-1.804591e-02,	7.851146e-01,	2.378540e-02,	1.486520e-01,	-6.772942e-01,	-3.336172e-01,	8.795672e-03,	-4.439506e-01,	-1.880172e-02,	1.479911e-01
5.400000e-02,	3.421398e-02,	5.050850e-03,	5.794804e-01,	-8.850922e-02,	4.359941e-01,	1.633661e-01,	8.454233e-01,	-2.416859e-02,	-1.505956e-01,	-6.971013e-01,	-2.937486e-01,	-1.804591e-02,	7.851149e-01,	2.378543e-02,	1.486520e-01,	-6.772944e-01,	-3.336166e-01,	8.795678e-03,	-4.439501e-01,	-1.880181e-02,	1.479911e-01
5.500000e-02,	3.421386e-02,	5.050851e-03,	5.794804e-01,	-8.850921e-02,	4.359939e-01,	1.633661e-01,	8.454234e-01,	-2.416861e-02,	-1.505956e-01,	-6.971013e-01,	-2.937484e-01,	-1.804591e-02,	7.851149e-01,	2.378544e-02,	1.486520e-01,	-6.772944e-01,	-3.336164e-01,	8.795676e-03,	-4.439499e-01,	-1.880184e-02,	1.479911e-01
5.600000e-02,	3.421382e-02,	5.050852e-03,	5.794804e-01,	-8.850921e-02,	4.359938e-01,	1.633661e-01,	8.454234e-01,	-2.416861e-02,	-1.505956e-01,	-6.971013e-01,	-2.937483e-01,	-1.804591e-02,	7.851149e-01,	2.378544e-02,	1.486520e-01,	-6.772945e-01,	-3.336164e-01,	8.795674e-03,	-4.439499e-01,	-1.880185e-02,	1.479911e-01
5.700000e-02,	3.421381e-02,	5.050853e-03,	5.794804e-01,	-8.850921e-02,	4.359938e-01,	1.633660e-01,	8.454234e-01,	-2.416861e-02,	-1.505956e-01,	-6.971013e-01,	-2.937483e-01,	-1.804591e-02,	7.851150e-01,	2.378544e-02,	1.486520e-01,	-6.772945e-01,	-3.336163e-01,	8.795673e-03,	-4.439499e-01,	-1.880185e-02,	1.479911e-01
5.800000e-02,	3.421380e-02,	5.050853e-03,	5.794804e-01,	-8.850921e-02,	4.359938e-01,	1.633660e-01,	8.454234e-01,	-2.416861e-02,	-1.505956e-01,	-6.971013e-01,	-2.937483e-01,	-1.804591e-02,	7.851150e-01,	2.378544e-02,	1.486520e-01,	-6.772945e-01,	-3.336163e-01,	8.795673e-03,	-4.439498e-01,	-1.880186e-02,	1.479911e-01
